Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2001,June,T,55-59,8
2001,June,T,60-64,7
2001,June,T,65-69,0
2001,June,T,70-74,0
2001,June,T,75+,0
2001,June,T,Total,212
2001,July,M,0-4,21
2001,July,M,9-May,22
2001,July,M,14-Oct,11
2001,July,M,15-19,15
2001,July,M,20-24,10
2001,July,M,25-29,13
2001,July,M,30-34,14
2001,July,M,35-39,5
2001,July,M,40-44,5
2001,July,M,45-49,3
2001,July,M,50-54,1
2001,July,M,55-59,2
2001,July,M,60-64,0
2001,July,M,65-69,1
2001,July,M,70-74,0
2001,July,M,75+,0
2001,July,M,Total,123
2001,July,F,0-4,16
2001,July,F,9-May,18
2001,July,F,14-Oct,13
2001,July,F,15-19,10
2001,July,F,20-24,12
2001,July,F,25-29,7
2001,July,F,30-34,9
2001,July,F,35-39,5
2001,July,F,40-44,7
2001,July,F,45-49,3
2001,July,F,50-54,1
2001,July,F,55-59,0
2001,July,F,60-64,0
2001,July,F,65-69,1
2001,July,F,70-74,0
2001,July,F,75+,1
2001,July,F,Total,103
2001,July,T,0-4,37
2001,July,T,9-May,40
2001,July,T,14-Oct,24
2001,July,T,15-19,25
2001,July,T,20-24,22
2001,July,T,25-29,20
2001,July,T,30-34,23
2001,July,T,35-39,10
2001,July,T,40-44,12
2001,July,T,45-49,6
2001,July,T,50-54,2
2001,July,T,55-59,2
2001,July,T,60-64,0
2001,July,T,65-69,2
2001,July,T,70-74,0
2001,July,T,75+,1
2001,July,T,Total,226
2001,August,M,0-4,18
2001,August,M,9-May,25
2001,August,M,14-Oct,16
2001,August,M,15-19,23
2001,August,M,20-24,9
2001,August,M,25-29,12
2001,August,M,30-34,14
2001,August,M,35-39,12
2001,August,M,40-44,9
2001,August,M,45-49,4
2001,August,M,50-54,7
2001,August,M,55-59,2
2001,August,M,60-64,3
2001,August,M,65-69,1
2001,August,M,70-74,0
2001,August,M,75+,1
2001,August,M,Total,156
2001,August,F,0-4,22
2001,August,F,9-May,17
2001,August,F,14-Oct,7
2001,August,F,15-19,18
2001,August,F,20-24,11
2001,August,F,25-29,5
2001,August,F,30-34,10
2001,August,F,35-39,7
2001,August,F,40-44,8
2001,August,F,45-49,5
2001,August,F,50-54,5
2001,August,F,55-59,3
2001,August,F,60-64,2
2001,August,F,65-69,2
2001,August,F,70-74,0
2001,August,F,75+,1
2001,August,F,Total,123
2001,August,T,0-4,40
2001,August,T,9-May,42
2001,August,T,14-Oct,23
2001,August,T,15-19,41
2001,August,T,20-24,20
2001,August,T,25-29,17
2001,August,T,30-34,24
2001,August,T,35-39,19
2001,August,T,40-44,17
2001,August,T,45-49,9
2001,August,T,50-54,12
2001,August,T,55-59,5
2001,August,T,60-64,5
2001,August,T,65-69,3
2001,August,T,70-74,0
2001,August,T,75+,2
2001,August,T,Total,279
2001,Sepember,M,0-4,16
2001,Sepember,M,9-May,9
2001,Sepember,M,14-Oct,10
2001,Sepember,M,15-19,11
2001,Sepember,M,20-24,10
2001,Sepember,M,25-29,7
2001,Sepember,M,30-34,8
2001,Sepember,M,35-39,10
2001,Sepember,M,40-44,4
2001,Sepember,M,45-49,4
2001,Sepember,M,50-54,2
2001,Sepember,M,55-59,2
